+------+--------+--------+-------+-------+--------+----------+----------------------------------+----------+----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+-------------+-------------+-----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+-------------------+------------------+------------------+-------+--------+-------+----------------+-------+---------------+--------+-----------+--------+----------------+--------+--------------+--------+----------------+-------------+-----------------+-----------+---------------+------------+----------------+-------+-------+-----------+----------------+-----------------+------------+------------+------------+------------+--------------+--------------+--------------------+--------------------+--------------------+--------------------+--------------+
| iden | RA     | DEC    | z     | zconf | logM   | DL_Mpc   | DL_cm                            | Hb_rest  | O3_rest  | Ha_rest  | N2_rest  | SIIa_rest | SIIb_rest | Hb_center | O3_center | Ha_center | N2_center | SIIa_center | SIIb_center | Hb_flux   | O3_flux   | Ha_flux   | N2_flux   | SIIa_flux | SIIb_flux | Hb_dflux | O3_dflux | Ha_dflux | N2_dflux          | SIIa_dflux       | SIIb_dflux       | R1    | R1_err | R2    | R2_err         | R3    | R3_err        | logR1  | logR1_err | logR2  | logR2_err      | logR3  | logR3_err    | O3N2   | O3N2_err       | 12+log(O/H) | 12+log(O/H)_err | EW_Hb_obs | EW_Hb_obs_err | EW_Hb_rest | EW_Hb_rest_err | SFR   | d_SFR | log10_SFR | d_log10_SFR_up | d_log10_SFR_low | flag_Hb_SN | flag_Ha_SN | flag_N2_SN | flag_O3_SN | flag_SIIa_SN | flag_SIIb_SN | flag_negative_flux | flag_large_errorR1 | flag_large_errorR2 | flag_large_errorR3 | quality_flag |
| 151  | 39.997 | -1.585 | 0.384 | 3     | 9.890  | 2099.310 | 6477798087457691453544726528.000 | 4860.233 | 5006.260 | 6561.603 | 6582.618 | 6714.993  | 6744.632  | 6726.562  | 6928.664  | 9081.259  | 9110.343  | 9293.551    | 9334.571    | 542.020   | 1464.770  | 4483.470  | 1115.010  | 913.262   | 660.547   | 196.763  | 207.097  | 301.858  | 319.401           | 313.564          | 266.603          | 0.765 | 0.360  | 0.249 | 0.073          | 0.351 | 0.095         | -0.116 | 0.204     | -0.604 | 0.128          | -0.455 | 0.117        | 0.488  | 0.241          | 8.574       | 0.077           | 1.184     | 0.435         | 0.856      | 0.315          | 0.124 | 0.115 | -0.905    | 0.284          | 1.114           | True       | False      | False      | False      | True         | True         | False              | False              | False              | False              | True         |
| 151  | 39.997 | -1.585 | 0.384 | 3     | 9.890  | 2099.310 | 6477798087457691453544726528.000 | 4860.991 | 5006.676 | 6562.411 | 6582.652 | 6716.134  | 6716.134  | 6727.612  | 6929.239  | 9082.377  | 9110.390  | 9295.129    | 9295.129    | 3891.060  | 6438.580  | 18245.500 | 3776.130  | 4424.260  | 4424.260  | 299.112  | 304.655  | 578.047  | 660.644           | 544.110          | 544.110          | 1.055 | 0.102  | 0.207 | 0.037          | 0.485 | 0.045         | 0.023  | 0.042     | -0.684 | 0.077          | -0.314 | 0.040        | 0.707  | 0.088          | 8.504       | 0.028           | 5.275     | 0.496         | 3.812      | 0.358          | 0.831 | 0.154 | -0.080    | 0.074          | 0.089           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 202  | 39.958 | -1.605 | 0.381 | 3     | 10.160 | 2081.507 | 6422865055953667650819719168.000 | 4862.562 | 5008.156 | 6564.366 | 6585.163 | 6718.200  | 6732.210  | 6716.463  | 6917.565  | 9067.096  | 9095.822  | 9279.581    | 9298.933    | 7092.460  | 2391.420  | 41013.900 | 13711.300 | 5412.470  | 3244.220  | 250.722  | 282.336  | 493.053  | 469.789           | 476.745          | 460.190          | 0.258 | 0.032  | 0.334 | 0.012          | 0.211 | 0.016         | -0.588 | 0.054     | -0.476 | 0.016          | -0.676 | 0.034        | -0.112 | 0.056          | 8.766       | 0.018           | 9.809     | 0.555         | 7.101      | 0.402          | 4.079 | 0.332 | 0.611     | 0.034          | 0.037           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 202  | 39.958 | -1.605 | 0.381 | 3     | 10.160 | 2081.507 | 6422865055953667650819719168.000 | 4862.535 | 5007.893 | 6564.351 | 6585.077 | 6718.078  | 6732.698  | 6716.425  | 6917.202  | 9067.076  | 9095.703  | 9279.412    | 9299.606    | 9332.320  | 4004.600  | 55020.900 | 18565.100 | 8082.860  | 5326.400  | 435.462  | 480.421  | 865.046  | 815.806           | 853.068          | 865.038          | 0.299 | 0.039  | 0.337 | 0.016          | 0.244 | 0.022         | -0.525 | 0.057     | -0.472 | 0.020          | -0.613 | 0.040        | -0.053 | 0.060          | 8.747       | 0.019           | 6.884     | 0.440         | 4.984      | 0.319          | 4.695 | 0.510 | 0.672     | 0.045          | 0.050           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 202  | 39.958 | -1.605 | 0.381 | 3     | 10.160 | 2081.507 | 6422865055953667650819719168.000 | 4862.504 | 5007.878 | 6564.334 | 6585.048 | 6718.014  | 6732.595  | 6716.382  | 6917.181  | 9067.052  | 9095.664  | 9279.324    | 9299.464    | 9942.520  | 3939.020  | 56819.300 | 19136.100 | 8532.860  | 5788.640  | 530.825  | 563.491  | 959.915  | 901.806           | 950.519          | 960.125          | 0.278 | 0.043  | 0.337 | 0.017          | 0.252 | 0.024         | -0.557 | 0.067     | -0.473 | 0.022          | -0.599 | 0.042        | -0.084 | 0.070          | 8.757       | 0.023           | 7.017     | 0.482         | 5.080      | 0.349          | 4.605 | 0.563 | 0.663     | 0.050          | 0.057           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 212  | 40.003 | -1.564 | 0.380 | 3     | 10.280 | 2072.425 | 6394838961122383042921365504.000 | 4863.066 | 5008.372 | 6565.165 | 6586.074 | 6718.795  | 6733.245  | 6710.350  | 6910.852  | 9059.009  | 9087.860  | 9270.996    | 9290.936    | 14818.000 | 10870.200 | 63786.600 | 15541.000 | 13727.700 | 8224.820  | 666.000  | 724.343  | 1361.630 | 1310.510          | 1440.360         | 1302.220         | 0.577 | 0.047  | 0.244 | 0.021          | 0.344 | 0.031         | -0.239 | 0.035     | -0.613 | 0.038          | -0.463 | 0.040        | 0.374  | 0.052          | 8.610       | 0.017           | 11.050    | 0.729         | 8.008      | 0.528          | 3.647 | 0.391 | 0.562     | 0.044          | 0.049           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 212  | 40.003 | -1.564 | 0.380 | 3     | 10.280 | 2072.425 | 6394838961122383042921365504.000 | 4863.430 | 5009.357 | 6565.642 | 6586.487 | 6719.133  | 6733.590  | 6710.852  | 6912.211  | 9059.667  | 9088.430  | 9271.463    | 9291.411    | 6418.640  | 2611.590  | 31461.300 | 9593.970  | 6585.130  | 4009.650  | 378.503  | 404.251  | 688.233  | 676.215           | 762.262          | 631.919          | 0.293 | 0.049  | 0.305 | 0.023          | 0.337 | 0.032         | -0.534 | 0.073     | -0.516 | 0.032          | -0.473 | 0.042        | -0.018 | 0.079          | 8.736       | 0.025           | 7.683     | 0.606         | 5.568      | 0.439          | 1.952 | 0.268 | 0.291     | 0.056          | 0.064           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 285  | 39.960 | -1.603 | 0.373 | 3     | 9.890  | 2025.795 | 6250955027519720915111772160.000 | 4862.255 | 5008.089 | 6564.088 | 6584.783 | 6717.811  | 6732.113  | 6674.174  | 6874.354  | 9010.196  | 9038.603  | 9221.203    | 9240.835    | 474.130   | 292.283   | 4145.610  | 1751.500  | 1297.060  | 833.551   | 83.989   | 92.277   | 148.463  | 147.488           | 152.654          | 153.560          | 0.288 | 0.108  | 0.422 | 0.039          | 0.514 | 0.055         | -0.541 | 0.163     | -0.374 | 0.040          | -0.289 | 0.047        | -0.167 | 0.168          | 8.783       | 0.054           | 2.627     | 0.501         | 1.914      | 0.365          | 0.331 | 0.140 | -0.480    | 0.153          | 0.238           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 285  | 39.960 | -1.603 | 0.373 | 3     | 9.890  | 2025.795 | 6250955027519720915111772160.000 | 4862.273 | 5008.515 | 6564.268 | 6584.939 | 6718.346  | 6731.561  | 6674.199  | 6874.938  | 9010.443  | 9038.816  | 9221.938    | 9240.077    | 720.206   | 332.732   | 9021.590  | 4217.490  | 3407.540  | 1725.610  | 219.651  | 179.242  | 272.538  | 285.514           | 289.529          | 264.518          | 0.128 | 0.084  | 0.467 | 0.035          | 0.569 | 0.047         | -0.894 | 0.286     | -0.330 | 0.032          | -0.245 | 0.036        | -0.563 | 0.288          | 8.910       | 0.092           | 1.147     | 0.353         | 0.835      | 0.258          | 0.516 | 0.397 | -0.287    | 0.248          | 0.638           | False      | False      | False      | True       | False        | False        | False              | False              | False              | False              | True         |
| 407  | 39.964 | -1.546 | 0.374 | 3     | 9.860  | 2034.055 | 6276443685539637291149950976.000 | 4862.718 | 5008.289 | 6564.845 | 6585.428 | 6718.532  | 6732.871  | 6681.034  | 6881.039  | 9019.637  | 9047.917  | 9230.793    | 9250.493    | 2635.550  | 2142.310  | 14209.700 | 3493.840  | 3180.680  | 2434.710  | 101.230  | 113.222  | 185.775  | 180.792           | 187.745          | 188.194          | 0.641 | 0.043  | 0.246 | 0.013          | 0.395 | 0.019         | -0.193 | 0.029     | -0.609 | 0.023          | -0.403 | 0.021        | 0.416  | 0.037          | 8.597       | 0.012           | 11.185    | 0.809         | 8.141      | 0.589          | 1.242 | 0.111 | 0.094     | 0.037          | 0.040           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
