+------+--------+--------+-------+-------+--------+----------+----------------------------------+----------+----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+-------------+-------------+-----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+-------------------+------------------+------------------+-------+--------+-------+----------------+-------+---------------+--------+-----------+--------+----------------+--------+--------------+--------+----------------+-------------+-----------------+-----------+---------------+------------+----------------+-------+-------+-----------+----------------+-----------------+------------+------------+------------+------------+--------------+--------------+--------------------+--------------------+--------------------+--------------------+--------------+
| iden | RA     | DEC    | z     | zconf | logM   | DL_Mpc   | DL_cm                            | Hb_rest  | O3_rest  | Ha_rest  | N2_rest  | SIIa_rest | SIIb_rest | Hb_center | O3_center | Ha_center | N2_center | SIIa_center | SIIb_center | Hb_flux   | O3_flux   | Ha_flux   | N2_flux   | SIIa_flux | SIIb_flux | Hb_dflux | O3_dflux | Ha_dflux | N2_dflux          | SIIa_dflux       | SIIb_dflux       | R1    | R1_err | R2    | R2_err         | R3    | R3_err        | logR1  | logR1_err | logR2  | logR2_err      | logR3  | logR3_err    | O3N2   | O3N2_err       | 12+log(O/H) | 12+log(O/H)_err | EW_Hb_obs | EW_Hb_obs_err | EW_Hb_rest | EW_Hb_rest_err | SFR   | d_SFR | log10_SFR | d_log10_SFR_up | d_log10_SFR_low | flag_Hb_SN | flag_Ha_SN | flag_N2_SN | flag_O3_SN | flag_SIIa_SN | flag_SIIb_SN | flag_negative_flux | flag_large_errorR1 | flag_large_errorR2 | flag_large_errorR3 | quality_flag |
| 407  | 39.964 | -1.546 | 0.374 | 3     | 9.860  | 2034.055 | 6276443685539637291149950976.000 | 4862.595 | 5008.094 | 6564.602 | 6585.152 | 6718.317  | 6732.668  | 6680.865  | 6880.771  | 9019.303  | 9047.538  | 9230.497    | 9250.215    | 8289.220  | 7709.760  | 42591.700 | 10753.100 | 10142.800 | 7726.540  | 341.874  | 381.207  | 501.971  | 501.946           | 516.556          | 515.490          | 0.699 | 0.046  | 0.252 | 0.012          | 0.420 | 0.018         | -0.156 | 0.029     | -0.598 | 0.021          | -0.377 | 0.018        | 0.442  | 0.036          | 8.588       | 0.011           | 9.073     | 0.575         | 6.604      | 0.418          | 3.063 | 0.286 | 0.486     | 0.039          | 0.043           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 459  | 39.993 | -1.563 | 0.372 | 3     | 9.440  | 2024.376 | 6246576572345293496037408768.000 | 4862.125 | 5007.573 | 6563.723 | 6584.467 | 6717.317  | 6731.626  | 6672.926  | 6872.544  | 9008.251  | 9036.720  | 9219.048    | 9238.685    | 1016.490  | 1629.260  | 4997.590  | 775.046   | 1152.340  | 925.794   | 81.078   | 87.784   | 135.863  | 126.742           | 134.734          | 146.610          | 1.175 | 0.120  | 0.155 | 0.026          | 0.416 | 0.041         | 0.070  | 0.044     | -0.809 | 0.072          | -0.381 | 0.043        | 0.879  | 0.085          | 8.449       | 0.027           | 8.232     | 1.042         | 5.998      | 0.759          | 0.309 | 0.058 | -0.509    | 0.074          | 0.090           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 459  | 39.993 | -1.563 | 0.372 | 3     | 9.440  | 2024.376 | 6246576572345293496037408768.000 | 4862.074 | 5007.584 | 6563.688 | 6584.455 | 6717.201  | 6731.671  | 6672.856  | 6872.558  | 9008.203  | 9036.704  | 9218.888    | 9238.747    | 2043.410  | 3409.750  | 10391.500 | 2133.510  | 2253.320  | 2040.700  | 225.506  | 244.554  | 358.235  | 362.716           | 338.500          | 390.895          | 1.131 | 0.157  | 0.205 | 0.036          | 0.413 | 0.052         | 0.053  | 0.060     | -0.688 | 0.075          | -0.384 | 0.054        | 0.741  | 0.096          | 8.493       | 0.031           | 6.307     | 0.861         | 4.595      | 0.627          | 0.588 | 0.149 | -0.231    | 0.098          | 0.127           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 553  | 39.991 | -1.593 | 0.387 | 3     | 10.230 | 2121.384 | 6545912396740375803070513152.000 | 4862.359 | 5008.032 | 6564.237 | 6584.818 | 6717.062  | 6732.612  | 6745.988  | 6948.093  | 9107.157  | 9135.710  | 9319.184    | 9340.758    | 4315.520  | 1377.020  | 25636.000 | 8197.850  | 6639.250  | 2247.860  | 178.704  | 200.085  | 334.115  | 353.657           | 122040000000.000 | 274.964          | 0.221 | 0.034  | 0.320 | 0.014          | 0.347 | 4760493.057   | -0.656 | 0.066     | -0.495 | 0.020          | -0.460 | 5963839.603  | -0.161 | 0.069          | 8.782       | 0.022           | 6.716     | 0.400         | 4.841      | 0.288          | 2.272 | 0.219 | 0.356     | 0.040          | 0.044           | False      | False      | False      | False      | True         | False        | False              | False              | False              | True               | True         |
| 553  | 39.991 | -1.593 | 0.387 | 3     | 10.230 | 2121.384 | 6545912396740375803070513152.000 | 4862.360 | 5008.178 | 6564.232 | 6584.747 | 6717.111  | 6732.694  | 6745.989  | 6948.296  | 9107.150  | 9135.612  | 9319.253    | 9340.873    | 5382.890  | 1903.450  | 32690.700 | 10900.700 | 2234.230  | 3040.550  | 391.393  | 438.873  | 476.166  | 508.075           | 1058.140         | 367.721          | 0.220 | 0.054  | 0.333 | 0.016          | 0.161 | 0.034         | -0.657 | 0.106     | -0.477 | 0.021          | -0.792 | 0.092        | -0.180 | 0.108          | 8.788       | 0.035           | 4.966     | 0.435         | 3.579      | 0.313          | 2.457 | 0.406 | 0.390     | 0.066          | 0.078           | False      | False      | False      | False      | True         | False        | False              | False              | False              | False              | False        |
| 553  | 39.991 | -1.593 | 0.387 | 3     | 10.230 | 2121.384 | 6545912396740375803070513152.000 | 4862.371 | 5008.166 | 6564.226 | 6584.709 | 6717.123  | 6732.714  | 6746.005  | 6948.280  | 9107.141  | 9135.560  | 9319.269    | 9340.900    | 5354.570  | 1983.690  | 33500.900 | 11302.000 | 2439.300  | 3325.490  | 334.450  | 378.604  | 590.803  | 637.740           | 745.576          | 448.728          | 0.217 | 0.044  | 0.337 | 0.020          | 0.172 | 0.026         | -0.663 | 0.088     | -0.472 | 0.026          | -0.764 | 0.066        | -0.192 | 0.092          | 8.791       | 0.029           | 4.245     | 0.341         | 3.060      | 0.246          | 2.358 | 0.352 | 0.373     | 0.060          | 0.070           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 590  | 39.992 | -1.583 | 0.370 | 3     | 10.230 | 2008.718 | 6198261601689310537357197312.000 | 4863.820 | 5009.454 | 6566.196 | 6586.912 | 6719.728  | 6734.358  | 6663.434  | 6862.952  | 8995.688  | 9024.069  | 9206.027    | 9226.071    | 2034.430  | 919.807   | 9975.300  | 2468.170  | 1834.310  | 1139.890  | 75.974   | 76.052   | 133.343  | 127.739           | 142.535          | 126.213          | 0.372 | 0.034  | 0.247 | 0.013          | 0.298 | 0.019         | -0.430 | 0.040     | -0.607 | 0.023          | -0.526 | 0.028        | 0.177  | 0.046          | 8.673       | 0.015           | 13.868    | 1.157         | 10.122     | 0.844          | 0.764 | 0.066 | -0.117    | 0.036          | 0.040           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 590  | 39.992 | -1.583 | 0.370 | 3     | 10.230 | 2008.718 | 6198261601689310537357197312.000 | 4863.482 | 5009.045 | 6565.618 | 6586.300 | 6719.184  | 6733.736  | 6662.971  | 6862.391  | 8994.897  | 9023.231  | 9205.282    | 9225.218    | 8291.650  | 3639.020  | 41425.400 | 11330.900 | 8468.280  | 5065.370  | 288.462  | 297.578  | 494.529  | 511.354           | 523.981          | 493.810          | 0.350 | 0.031  | 0.274 | 0.013          | 0.327 | 0.018         | -0.456 | 0.039     | -0.563 | 0.020          | -0.486 | 0.024        | 0.107  | 0.044          | 8.696       | 0.014           | 11.810    | 0.755         | 8.621      | 0.551          | 3.096 | 0.248 | 0.491     | 0.033          | 0.036           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 680  | 39.973 | -1.550 | 0.367 | 3     | 9.760  | 1986.665 | 6130211144066335469908000768.000 | 4862.589 | 5008.114 | 6564.530 | 6585.061 | 6718.282  | 6732.756  | 6645.068  | 6843.939  | 8970.890  | 8998.947  | 9181.003    | 9200.783    | 1644.050  | 2384.870  | 8010.590  | 1297.980  | 1805.880  | 1374.130  | 82.280   | 88.576   | 132.230  | 122.099           | 133.281          | 143.761          | 1.220 | 0.079  | 0.162 | 0.015          | 0.397 | 0.025         | 0.086  | 0.028     | -0.790 | 0.041          | -0.401 | 0.028        | 0.877  | 0.050          | 8.449       | 0.016           | 15.857    | 1.785         | 11.604     | 1.306          | 0.620 | 0.071 | -0.208    | 0.047          | 0.053           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 680  | 39.973 | -1.550 | 0.367 | 3     | 9.760  | 1986.665 | 6130211144066335469908000768.000 | 4862.608 | 5008.066 | 6564.523 | 6584.973 | 6718.309  | 6732.698  | 6645.094  | 6843.873  | 8970.880  | 8998.826  | 9181.040    | 9200.703    | 3460.630  | 5287.180  | 16172.300 | 2641.130  | 3443.280  | 2671.610  | 178.226  | 186.727  | 299.259  | 282.020           | 296.207          | 306.331          | 1.232 | 0.081  | 0.163 | 0.018          | 0.378 | 0.027         | 0.091  | 0.028     | -0.787 | 0.047          | -0.422 | 0.031        | 0.878  | 0.055          | 8.449       | 0.018           | 12.518    | 1.283         | 9.160      | 0.939          | 1.057 | 0.126 | 0.024     | 0.049          | 0.055           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 812  | 39.963 | -1.537 | 0.373 | 3     | 10.550 | 2030.053 | 6264094631976973303963189248.000 | 4862.805 | 5008.096 | 6565.033 | 6584.840 | 6718.794  | 6733.491  | 6678.139  | 6877.669  | 9015.826  | 9043.026  | 9226.987    | 9247.171    | 6042.720  | 8036.650  | 49708.300 | 27791.700 | 12903.100 | 8164.950  | 699.059  | 811.095  | 2477.250 | 1617.030          | 1875.180         | 1500.220         | 0.704 | 0.116  | 0.559 | 0.043          | 0.424 | 0.053         | -0.153 | 0.071     | -0.253 | 0.033          | -0.373 | 0.054        | 0.100  | 0.079          | 8.698       | 0.025           | 3.373     | 0.416         | 2.456      | 0.303          | 4.543 | 1.299 | 0.657     | 0.109          | 0.146           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 812  | 39.963 | -1.537 | 0.373 | 3     | 10.550 | 2030.053 | 6264094631976973303963189248.000 | 4862.268 | 5007.741 | 6563.840 | 6584.321 | 6717.728  | 6732.231  | 6677.401  | 6877.181  | 9014.187  | 9042.314  | 9225.523    | 9245.440    | 1484.500  | 1108.680  | 14771.700 | 7394.380  | 2818.490  | 2597.950  | 127.448  | 138.017  | 238.603  | 241.135           | 236.497          | 254.217          | 0.473 | 0.074  | 0.501 | 0.018          | 0.367 | 0.024         | -0.325 | 0.068     | -0.301 | 0.016          | -0.436 | 0.029        | -0.024 | 0.069          | 8.738       | 0.022           | 5.192     | 0.518         | 3.781      | 0.377          | 2.864 | 0.552 | 0.457     | 0.077          | 0.093           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
+------+--------+--------+-------+-------+--------+----------+----------------------------------+----------+----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+-------------+-------------+-----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+-------------------+------------------+------------------+-------+--------+-------+----------------+-------+---------------+--------+-----------+--------+----------------+--------+--------------+--------+----------------+-------------+-----------------+-----------+---------------+------------+----------------+-------+-------+-----------+----------------+-----------------+------------+------------+------------+------------+--------------+--------------+--------------------+--------------------+--------------------+--------------------+--------------+
